index,home_team,away_team,home_coeff,away_coeff,mean_coeff,tvalue_home,tvalue_away,home_team_score,away_team_score,importance,home_team_result
2511,Bolivia,Uruguay,1,1,1,182,156,1,0,2.5,Win
2512,Chile,Paraguay,1,1,1,173,177,2,1,2.5,Win
2513,Colombia,Ecuador,1,1,1,188,170,1,0,2.5,Win
2514,Iceland,Norway,0.99,0.99,0.99,113,184,0,1,1,Lose
2515,Mozambique,Namibia,0.85,0.85,0.85,128,120,1,1,1,Draw
2516,Algeria,Benin,0.85,0.85,0.85,140,70,2,0,2.5,Win
2517,Angola,Zimbabwe,0.85,0.85,0.85,141,138,2,1,2.5,Win
2518,Cameroon,Kenya,0.85,0.85,0.85,154,98,1,1,2.5,Draw
2519,Egypt,Ethiopia,0.85,0.85,0.85,162,82,8,1,2.5,Win
2520,Gabon,Namibia,0.85,0.85,0.85,139,120,1,1,2.5,Draw
2521,Iceland,Faroe Islands,0.99,0.99,0.99,113,74,1,0,1,Win
2522,Côte d'Ivoire,Mali,0.85,0.85,0.85,155,130,4,2,2.5,Win
2523,Liberia,Tanzania,0.85,0.85,0.85,106,104,1,0,2.5,Win
2524,Morocco,Senegal,0.85,0.85,0.85,185,135,3,0,2.5,Win
2525,Mozambique,Malawi,0.85,0.85,0.85,128,112,2,1,2.5,Win
2526,Zambia,Mauritius,0.85,0.85,0.85,181,52,1,0,2.5,Win
2527,Zambia,Mozambique,0.85,0.85,0.85,181,128,2,1,1,Win
2528,Belarus,Israel,0.99,0.99,0.99,97,150,2,3,1,Lose
2529,Estonia,Faroe Islands,0.99,0.99,0.99,100,74,0,2,1,Lose
2530,Hungary,Malta,0.99,0.99,0.99,129,77,3,0,1,Win
2531,Jamaica,Colombia,0.85,1,0.925,161,188,1,0,1,Win
2532,Slovakia,Switzerland,0.99,0.99,0.99,179,137,1,0,1,Win
2533,Sweden,Lithuania,0.99,0.99,0.99,175,145,1,0,1,Win
2534,Cameroon,Nigeria,0.85,0.85,0.85,154,142,0,1,1,Lose
2535,Tunisia,Zambia,0.85,0.85,0.85,172,181,3,1,1,Win
2536,USA,Ecuador,0.85,1,0.925,174,170,0,1,1,Lose
2537,Cameroon,Zambia,0.85,0.85,0.85,154,181,3,3,1,Draw
2538,Malawi,Tanzania,0.85,0.85,0.85,112,104,2,2,1,Draw
